Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time,Preschool_Latitude,Preschool_Longitude,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start_Number,Sunday_End_Number,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors
"E-Bridge Pre-School Pte Ltd (417A, Fernvale Link)",School,"417A Fernvale Link, Singapore 791417 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 12pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.e-bridge.edu.sg/,"1,    5,    5",3.6666666666666665,"https://www.google.com/maps/place/E-Bridge+Pre-School+@+Fernvale+Riverwalk/@1.391712,103.8807062,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1777d38886c7:0x961b14028ca7e6c0!8m2!3d1.391712!4d103.8807062!16s%2Fg%2F11hyr1y88g?entry=ttu",2024-04-11 00:49:49.464603,1.391712,103.8807062,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,12,,,,,,,
"E-Bridge Pre-School Pte Ltd (365B, Upper Serangoon Road)",Preschool,"Upper Serangoon Rd, #02-1056 Hougang Meadow, Blk 365B, Singapore 532365 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 12pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,5,5.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Hougang+Meadow/@1.3692293,103.8973844,17z/data=!3m1!4b1!4m6!3m5!1s0x31da172f37be328b:0xcd6762abef15fa69!8m2!3d1.3692293!4d103.8973844!16s%2Fg%2F11ngpjg3sd?entry=ttu",2024-04-11 00:49:35.022337,1.3692293,103.8973844,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,12,,,,,,,
"E-Bridge Pre-School Pte Ltd (226A, Sumang Lane)",Preschool,"Blk 226A Sumang Lane, Matilda, #02-206, 821226 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.e-bridge.edu.sg/our-centre-sumang-lane/,5,5.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Sumang+Lane,+Matilda/@1.4026841,103.8932422,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15e1cadee5f3:0x6cc579925b1c6595!8m2!3d1.4026841!4d103.8932422!16s%2Fg%2F11f5dd3s9r?entry=ttu",2024-04-11 00:49:10.438403,1.4026841,103.8932422,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
"E-Bridge Pre-School Pte Ltd (217, Compassvale Drive)",School,"217A Compassvale Dr, Singapore 540217 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 12pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.e-bridge.edu.sg/,"5,    5",5.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Blk+217/@1.3899009,103.8945315,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16130649db11:0x8a0b8bddd560d9f7!8m2!3d1.3899009!4d103.8945315!16s%2Fg%2F11cs056jpq?entry=ttu",2024-04-11 00:48:45.887131,1.3899009,103.8945315,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,12,,,,,,,
E-Bridge Pre-School Pte Ltd (17 Circuit Road),Preschool,"Blk 17 Circuit Rd, #01-01, Singapore 370017 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 12pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,"5,    5,    5",5.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Circuit+Road/@1.3299019,103.8882024,17z/data=!3m1!4b1!4m6!3m5!1s0x31da178b74919f0f:0x475643837549c9f3!8m2!3d1.3299019!4d103.8882024!16s%2Fg%2F11by_yc35l?entry=ttu",2024-04-11 00:48:13.823797,1.3299019,103.8882024,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,12,,,,,,,
E-Bridge Pre-School Pte Ltd (140 Corporation Drive),Preschool,"140 Corporation Dr, Singapore 610140 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.e-bridge.edu.sg/,"5,    5,    5,    5,    5",5.0,"https://www.google.com/maps/place/E-Bridge+Infant+Care+%26+Pre-School+@+Blk+140+Corporation+Drive/@1.3270069,103.7238383,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f3e56dfee9d:0xf1d1c90433bccb00!8m2!3d1.3270069!4d103.7238383!16s%2Fg%2F11h7d6yybd?entry=ttu",2024-04-11 00:47:48.897336,1.3270069,103.7238383,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
E-Bridge Pre-School Pte Ltd (126A Canberra Street),Preschool,"Blk 126A Canberra St, #01-767, Singapore 751126 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,"5,    5,    5,    1",4.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Canberra/@1.4452428,103.8349355,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1526950f6be7:0xdf215dc94976699d!8m2!3d1.4452428!4d103.8349355!16s%2Fg%2F11qs_8pyf0?entry=ttu",2024-04-11 00:47:23.904348,1.4452428,103.8349355,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
E-Bridge Pre-School Forest Spring,Preschool,"Blk 471B Yishun Street 42, #02-01, Singapore 762471 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.e-bridge.edu.sg/,"5,    5,    5",5.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+Forest+Spring/@1.4256589,103.8529585,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15c10036d4bd:0xd48e42be5b79a5ea!8m2!3d1.4256589!4d103.8529585!16s%2Fg%2F11kq17_wx6?entry=ttu",2024-04-11 00:46:58.791597,1.4256589,103.8529585,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
E-Bridge Pre-School 670 Edgefield Plains,Preschool,"Blk 670 Edgefield Plains, #01-01, Singapore 820670 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 12pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,1,1.0,"https://www.google.com/maps/place/E-Bridge+Pre-School+670+Edgefield+Plains/@1.4059009,103.9132209,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15ff4b264e5d:0xbb70bf3aa2ead545!8m2!3d1.4059009!4d103.9132209!16s%2Fg%2F11by_yxynd?entry=ttu",2024-04-11 00:46:33.394384,1.4059009,103.9132209,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,12,0.0348958333333333,,,0.0348958333333333,,,
E-Bridge Pre-School (Member of EtonHouse International Group),School,"Woodlands Ave 6, Woodlands Glen ",,https://business.google.com/create?fp=15285103891999898886&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"5,    5,    5,    5,    5,    5,    1,    5,    5,    5,    5,    5",4.666666666666667,"https://www.google.com/maps/place/E-Bridge+Pre-School+(Member+of+EtonHouse+International+Group)/@1.4303891,103.7975997,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137beb285d71:0xd41f99017d983d06!8m2!3d1.4303891!4d103.7975997!16s%2Fg%2F11fldv8lbd?entry=ttu",2024-04-11 00:46:19.001704,1.4303891,103.7975997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-bridge mega centre,Child care agency,"78 Edgedale Plains, Singapore 822637 ",,https://business.google.com/create?fp=13934165923689225011&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"5,    5,    5,    5,    5,    5,    1,    5,    5,    5,    5,    5",4.666666666666667,"https://www.google.com/maps/place/E-bridge+mega+centre/@1.3993068,103.9142168,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1600288a8097:0xc1601a14cad95b33!8m2!3d1.3993068!4d103.9142168!16s%2Fg%2F11c7t2q4fn?entry=ttu",2024-04-11 00:46:04.756462,1.3993068,103.9142168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eager Kids Montessori,Kindergarten,"247 Hougang Ave 3, Behind Kovan MRT, Singapore 530247 ","Thursday, 8:30am to 11pm,    Friday, 8:30am to 11pm,    Saturday, Closed,    Sunday, Closed,    Monday, 8:30am to 11pm,    Tuesday, 8:30am to 11pm,    Wednesday, 8:30am to 11pm",http://eagerkidsmontessori.com/,"5,    5,    5,    5,    5,    5,    1,    5,    5,    5,    5,    5",4.666666666666667,"https://www.google.com/maps/place/Eager+Kids+Montessori/@1.3591697,103.8912548,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17ca018fa841:0x376103ab3cea3271!8m2!3d1.3591697!4d103.8912548!16s%2Fg%2F1thwxzg1?entry=ttu",2024-04-11 00:45:32.665720,1.3591697,103.8912548,Closed,Closed,8:30am,11pm,8:30am,11pm,8:30am,11pm,8:30am,11pm,8:30am,11pm,Closed,Closed,Closed,Closed,8.5,23,8.5,23,8.5,23,8.5,23,8.5,23,Closed,Closed,0.0,,,0.0,,,
E & P Training Centre (Yishun),Education,"846 Yishun Ring Rd, Singapore 760846 ",,https://business.google.com/create?fp=3607195518910879697&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"4,    5,    5,    5,    5",4.8,"https://www.google.com/maps/place/E+%26+P+Training+Centre+(Yishun)/@1.4167549,103.8346232,17z/data=!3m1!4b1!4m6!3m5!1s0x31da141243169025:0x320f5536741057d1!8m2!3d1.4167549!4d103.8346232!16s%2Fg%2F1tj712_v?entry=ttu",2024-04-11 00:45:17.926551,1.4167549,103.8346232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAS Chua Chu Kang Learning Centre,Learning center,"17 Teck Whye Ln, #01-167, Singapore 680017 ","Thursday, 9am to 12pm, 1 to 6pm,    Friday, 9am to 12pm, 1 to 6pm,    Saturday, 10am to 5pm,    Sunday, 10am to 5pm,    Monday, 9am to 12pm, 1 to 6pm,    Tuesday, 9am to 12pm, 1 to 6pm,    Wednesday, 9am to 12pm, 1 to 6pm",http://www.das.org.sg/,"4,    5,    5,    5,    5",4.8,"https://www.google.com/maps/place/DAS+Chua+Chu+Kang+Learning+Centre/@1.3791348,103.7536368,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bf3a3d63d1:0x1b8bd4105645f00a!8m2!3d1.3791348!4d103.7536368!16s%2Fg%2F11dfj9yd5l?entry=ttu",2024-04-11 00:44:52.862709,1.3791348,103.7536368,10am,5pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,10am,5pm,10,17,9,18,9,18,9,18,9,18,9,18,10,17,,,,,,,
Da Little Preschool in Tamarind,Preschool,"1 Tamarind Rd, Singapore 806011 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.dalittlepreschool.com/,"5,    5,    5,    1,    2,    5,    5,    5,    5",4.222222222222222,"https://www.google.com/maps/place/Da+Little+Preschool+in+Tamarind/@1.3900586,103.8606111,17z/data=!3m1!4b1!4m6!3m5!1s0x31da168f1f1f8af1:0xcb46ef9d9ed017eb!8m2!3d1.3900586!4d103.8606111!16s%2Fg%2F11b7lj0rpg?entry=ttu",2024-04-11 00:44:27.119559,1.3900586,103.8606111,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,0.4358333333333333,,,0.4358333333333333,,,
Crestar Learning Centre @ Woodlands Civic Centre,Learning center,"900 S Woodlands Dr, #05-03 Woodlands Civic Centre, Singapore 730900 ","Thursday, 1 to 9:30pm,    Friday, 1 to 9:30pm,    Saturday, 9am to 7pm,    Sunday, 9am to 6pm,    Monday, 1 to 9:30pm,    Tuesday, 1 to 9:30pm,    Wednesday, 1 to 9:30pm",https://crestar.com.sg/enquiry/,"1,    5,    5,    5,    5,    5,    5",4.428571428571429,"https://www.google.com/maps/place/Crestar+Learning+Centre+@+Woodlands+Civic+Centre/@1.4347784,103.78705,17z/data=!3m1!4b1!4m6!3m5!1s0x31da12ff449fb821:0x5ea22b23f570cfa9!8m2!3d1.4347784!4d103.78705!16s%2Fg%2F1tff0k3c?entry=ttu",2024-04-11 00:44:01.943818,1.4347784,103.78705,9am,6pm,1pm,9:30pm,1pm,9:30pm,1pm,9:30pm,1pm,9:30pm,1pm,9:30pm,9am,7pm,9,18,13,21.5,13,21.5,13,21.5,13,21.5,13,21.5,9,19,-0.48828125,,,,-0.48828125,,
Creative Thinkers Preschool Pte Ltd,Kindergarten,"110 Jln Jurong Kechil, Singapore 598606 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,"5,    4,    5,    5,    5,    5,    4,    5,    5",4.777777777777778,"https://www.google.com/maps/place/Creative+Thinkers+Preschool/@1.3411905,103.7721403,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10617ed930e9:0x987a521a432a46e9!8m2!3d1.3411905!4d103.7721403!16s%2Fg%2F1tdpzmyf?entry=ttu",2024-04-11 00:43:36.515041,1.3411905,103.7721403,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,0.3651666666666667,0.3651666666666667,,,,,
Clementi Woods Kindergarten,Kindergarten,"152 W Coast Rd, Singapore 127370 ","Thursday, 8:30am to 2:30pm,    Friday, 8:30am to 2:30pm,    Saturday, Closed,    Sunday, Closed,    Monday, 8:30am to 2:30pm,    Tuesday, 8:30am to 2:30pm,    Wednesday, 8:30am to 2:30pm",http://www.cwk.edu.sg/,"5,    5,    5",5.0,"https://www.google.com/maps/place/Clementi+Woods+Kindergarten/@1.30275,103.765838,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a9999acd9bf:0x5fb10f2084a8247d!8m2!3d1.30275!4d103.765838!16s%2Fg%2F1tflz_4k?entry=ttu",2024-04-11 00:43:11.180268,1.30275,103.765838,Closed,Closed,8:30am,2:30pm,8:30am,2:30pm,8:30am,2:30pm,8:30am,2:30pm,8:30am,2:30pm,Closed,Closed,Closed,Closed,8.5,14.5,8.5,14.5,8.5,14.5,8.5,14.5,8.5,14.5,Closed,Closed,0.4666666666666666,,,,0.4666666666666666,,
Choa Chu Kang Bible Centre Kindergarten,Kindergarten,"10 Choa Chu Kang Street 52, Singapore 689284 ",,https://business.google.com/create?fp=1965526426167665588&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    1",4.666666666666667,"https://www.google.com/maps/place/Choa+Chu+Kang+Bible+Centre+Kindergarten/@1.3946236,103.7440759,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11f1a55493fd:0x1b46f3deec5de3b4!8m2!3d1.3946236!4d103.7440759!16s%2Fg%2F1tw_krjw?entry=ttu",2024-04-11 00:42:57.100568,1.3946236,103.7440759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Cove Preschool - Sembawang,Preschool,"604 Sembawang Rd, #03-08 Sembawang Shopping Centre, Singapore 758459 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://childrenscove.sg/,"5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    1",4.666666666666667,"https://www.google.com/maps/place/Children's+Cove+Preschool+-+Sembawang/@1.4420175,103.8250677,17z/data=!3m1!4b1!4m6!3m5!1s0x31da150e611bb2f9:0xf34e7d80f5030a4e!8m2!3d1.4420175!4d103.8250677!16s%2Fg%2F11syc4672z?entry=ttu",2024-04-11 00:42:31.225820,1.4420175,103.8250677,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
Children's Cove Preschool - Pasir Ris,Preschool,"443 Pasir Ris Drive 6, #03-02, Singapore 510443 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.childrenscove.sg/,"5,    5,    5,    5,    5,    5,    5,    5,    1",4.555555555555555,"https://www.google.com/maps/place/Children's+Cove+Preschool+-+Pasir+Ris/@1.3692862,103.9573534,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3d6f872f8615:0x3ece4dada44c34f6!8m2!3d1.3692862!4d103.9573534!16s%2Fg%2F11shxwmln1?entry=ttu",2024-04-11 00:42:05.825318,1.3692862,103.9573534,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
Children's Cove Amoy,Preschool,"105 Amoy St, #01-01, Singapore 069925 ",,https://childrenscove.sg/,5,5.0,"https://www.google.com/maps/place/Children's+Cove+Amoy/@1.2817891,103.8474704,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19d1b126f709:0x3119cdc5742c2b80!8m2!3d1.2817891!4d103.8474704!16s%2Fg%2F11vh_89v1c?entry=ttu",2024-04-11 00:41:40.599828,1.2817891,103.8474704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChildrenÃ¢ÂÂs Cove Preschool - Orange Grove,Day care center,"30 Orange Grove Rd, #08-01 RELC Building, Singapore 258352 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.childrenscove.sg/,"5,    5,    2,    5,    1",3.6,"https://www.google.com/maps/place/Children%E2%80%99s+Cove+Preschool+-+Orange+Grove/@1.3129374,103.8258873,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19f6bb9c11b3:0x1dbd6d7a77d6f43a!8m2!3d1.3129374!4d103.8258873!16s%2Fg%2F1tzvt1t_?entry=ttu",2024-04-11 00:41:15.647428,1.3129374,103.8258873,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),Preschool,"11 Akyab Rd, Singapore 309975 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.childrenscove.sg/,"5,    4,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5",4.9375,"https://www.google.com/maps/place/Children's+Cove+Preschool+-+Novena/@1.3238462,103.848295,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1986502538d9:0xd1aaa4082eb774e9!8m2!3d1.3238462!4d103.848295!16s%2Fg%2F11j59k5h9q?entry=ttu",2024-04-11 00:40:49.929700,1.3238462,103.848295,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,0.175,0.175,,,,,
Childfirst@Tampines Pte Ltd,Preschool,"3 Tampines Central 1 #05-01, #1 Tampines Plaza, 529540 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 1pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://childfirst.com.sg/contact-us/,"4,    5,    5,    5,    5,    5,    5,    5,    4,    5,    5",4.818181818181818,"https://www.google.com/maps/place/ChildFirst+@+Tampines/@1.352687,103.9429503,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3d1226aab35b:0x4a2bdb3a4ec7a8bb!8m2!3d1.352687!4d103.9429503!16s%2Fg%2F11b6_fc0hf?entry=ttu",2024-04-11 00:40:24.536359,1.352687,103.9429503,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,1pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,13,0.1333333333333333,,,,,,0.1333333333333333
ChildFirst @ Mountbatten,Preschool,"229 Mountbatten Rd, Singapore 398007 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 1pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://childfirst.com.sg/contact-us/,"5,    5,    5,    5,    5,    5,    3,    5,    5,    5,    5,    5,    5,    1,    5,    5,    5,    4,    4,    5,    5,    5,    5,    5,    5",4.68,"https://www.google.com/maps/place/ChildFirst+@+Mountbatten/@1.3075594,103.8816862,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1847f48cfc99:0xf9e2a6b072be0866!8m2!3d1.3075594!4d103.8816862!16s%2Fg%2F1tdy6l1z?entry=ttu",2024-04-11 00:39:51.899652,1.3075594,103.8816862,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,1pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,13,0.4416666666666666,0.6499999999999999,,,,,0.2333333333333333
Child Care Takeover in Singapore,Kindergarten,"Tampines Street 43, Block 433, Singapore 520433 ","Thursday, 9am to 9pm,    Friday, 9am to 9pm,    Saturday, 9am to 9pm,    Sunday, 9am to 9pm,    Monday, 9am to 9pm,    Tuesday, 9am to 9pm,    Wednesday, 9am to 9pm",https://www.proedu.sg/contact-us/,"1,    5,    5,    4",3.75,"https://www.google.com/maps/place/Child+Care+Takeover+in+Singapore/@1.3590631,103.9510862,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1005727624ef:0x5e7da640c4c84998!8m2!3d1.3590631!4d103.9510862!16s%2Fg%2F11fmw_9yd1?entry=ttu",2024-04-11 00:39:37.386105,1.3590631,103.9510862,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9,21,9,21,9,21,9,21,9,21,9,21,9,21,,,,,,,
Child at Street 11,Preschool,"102 Ang Mo Kio Ave 3, #01-1429, Singapore 560102 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.street11.org.sg/,"1,    5,    5,    4",3.75,"https://www.google.com/maps/place/Child+At+Street+11/@1.3706167,103.839245,17z/data=!3m1!4b1!4m6!3m5!1s0x31da174fb70d63ad:0x37becee1ae669a0!8m2!3d1.3706167!4d103.839245!16s%2Fg%2F11j1kvkf1v?entry=ttu",2024-04-11 00:39:12.804633,1.3706167,103.839245,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Cherie Hearts @ Mountbatten Pte Ltd,Kindergarten,"231 Mountbatten Rd, #01-01 Block G, Singapore 397999 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://forms.gle/5JaxVF1AbikPtBY39,"5,    5,    5,    5,    5,    5,    5,    2,    5,    1,    5,    5,    5",4.461538461538462,"https://www.google.com/maps/place/Cherie+Hearts+@+Mountbatten+Pte+Ltd/@1.308727,103.8809092,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1838052733ef:0x63f6949dadc50e32!8m2!3d1.308727!4d103.8809092!16s%2Fg%2F1v2gb872?entry=ttu",2024-04-11 00:38:46.767232,1.308727,103.8809092,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
